doc_id	wikipedia_entity	wikipedia_url
wiki-minicorpus-a_0001	Nepenthes_alata	https://en.wikipedia.org/wiki/Nepenthes_alata
wiki-minicorpus-a_0002	New_Renaissance_Party	https://en.wikipedia.org/wiki/New_Renaissance_Party
wiki-minicorpus-a_0003	Spodnja_Voličina	https://en.wikipedia.org/wiki/Spodnja_Voli%C4%8Dina
wiki-minicorpus-a_0004	Borki,_Gmina_Ładzice	https://en.wikipedia.org/wiki/Borki,_Gmina_%C5%81adzice
wiki-minicorpus-a_0005	Fucked_Up	https://en.wikipedia.org/wiki/Fucked_Up
wiki-minicorpus-a_0006	John_Strong_(Michigan_politician)	https://en.wikipedia.org/wiki/John_Strong_(Michigan_politician)
wiki-minicorpus-a_0007	Teufenbach	https://en.wikipedia.org/wiki/Teufenbach
wiki-minicorpus-a_0008	CBHA-FM	https://en.wikipedia.org/wiki/CBHA-FM
wiki-minicorpus-a_0009	Abadan-e_Hoseyni	https://en.wikipedia.org/wiki/Abadan-e_Hoseyni
wiki-minicorpus-a_0010	Josefine_Krengel	https://en.wikipedia.org/wiki/Josefine_Krengel
wiki-minicorpus-a_0011	Smithfield_Township,_Jefferson_County,_Ohio	https://en.wikipedia.org/wiki/Smithfield_Township,_Jefferson_County,_Ohio
wiki-minicorpus-a_0012	Guy_Fletcher	https://en.wikipedia.org/wiki/Guy_Fletcher
wiki-minicorpus-a_0013	Faicchio	https://en.wikipedia.org/wiki/Faicchio
wiki-minicorpus-a_0014	Cressex_Community_School	https://en.wikipedia.org/wiki/Cressex_Community_School
wiki-minicorpus-a_0015	Teheran_43	https://en.wikipedia.org/wiki/Teheran_43
wiki-minicorpus-a_0016	Trần_Đại_Quang	https://en.wikipedia.org/wiki/Tr%E1%BA%A7n_%C4%90%E1%BA%A1i_Quang
wiki-minicorpus-a_0017	Karl_Turner_(British_politician)	https://en.wikipedia.org/wiki/Karl_Turner_(British_politician)
wiki-minicorpus-a_0018	Doug_Sanders_Celebrity_Classic	https://en.wikipedia.org/wiki/Doug_Sanders_Celebrity_Classic
wiki-minicorpus-a_0019	Gynanisa_maja	https://en.wikipedia.org/wiki/Gynanisa_maja
wiki-minicorpus-a_0020	Amekawa_Dam	https://en.wikipedia.org/wiki/Amekawa_Dam
wiki-minicorpus-a_0021	Vitskøl_Abbey	https://en.wikipedia.org/wiki/Vitsk%C3%B8l_Abbey
wiki-minicorpus-a_0022	Estradiol	https://en.wikipedia.org/wiki/Estradiol
wiki-minicorpus-a_0023	BRAF_(gene)	https://en.wikipedia.org/wiki/BRAF_(gene)
wiki-minicorpus-a_0024	Twin_Hills_Airport	https://en.wikipedia.org/wiki/Twin_Hills_Airport
wiki-minicorpus-a_0025	Vrakbukta	https://en.wikipedia.org/wiki/Vrakbukta
